0:0:0:0:0:0:0:1 - - [30/May/2026:14:40:02 +0530] "GET /School_Management_System/admin/dashboard/dashboard.jsp HTTP/1.1" 200 13267
0:0:0:0:0:0:0:1 - - [30/May/2026:14:40:02 +0530] "GET /School_Management_System/AdminDashboard HTTP/1.1" 200 329
0:0:0:0:0:0:0:1 - - [30/May/2026:14:40:07 +0530] "GET /School_Management_System/login/login.jsp HTTP/1.1" 200 7972
0:0:0:0:0:0:0:1 - - [30/May/2026:14:40:19 +0530] "POST /School_Management_System/Login HTTP/1.1" 200 75
0:0:0:0:0:0:0:1 - - [30/May/2026:14:40:19 +0530] "GET /School_Management_System/teacher/assignedclass.jsp HTTP/1.1" 200 10734
0:0:0:0:0:0:0:1 - - [30/May/2026:14:40:19 +0530] "GET /School_Management_System/teacher/assignedclass.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2026:14:40:19 +0530] "GET /School_Management_System/AssignedClass?teacherId=1 HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [30/May/2026:14:40:22 +0530] "GET /School_Management_System/teacher/attendance.jsp HTTP/1.1" 200 18300
0:0:0:0:0:0:0:1 - - [30/May/2026:14:40:22 +0530] "GET /School_Management_System/teacher/attendance.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2026:14:40:22 +0530] "GET /School_Management_System/AssignStudent HTTP/1.1" 200 3837
0:0:0:0:0:0:0:1 - - [30/May/2026:14:40:25 +0530] "GET /School_Management_System/teacher/studentsList.jsp HTTP/1.1" 200 8896
0:0:0:0:0:0:0:1 - - [30/May/2026:14:40:25 +0530] "GET /School_Management_System/teacher/studentList.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2026:14:40:25 +0530] "GET /School_Management_System/StudentList HTTP/1.1" 200 7721
0:0:0:0:0:0:0:1 - - [30/May/2026:14:40:26 +0530] "GET /School_Management_System/teacher/assignedclass.jsp HTTP/1.1" 200 10734
0:0:0:0:0:0:0:1 - - [30/May/2026:14:40:26 +0530] "GET /School_Management_System/AssignedClass?teacherId=1 HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [30/May/2026:14:42:24 +0530] "GET /School_Management_System/teacher/assignedclass.jsp HTTP/1.1" 200 10760
0:0:0:0:0:0:0:1 - - [30/May/2026:14:42:24 +0530] "GET /School_Management_System/teacher/assignedclass.js HTTP/1.1" 200 1618
0:0:0:0:0:0:0:1 - - [30/May/2026:14:42:24 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [30/May/2026:14:42:24 +0530] "GET /School_Management_System/AssignedClass?teacherId=1 HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [30/May/2026:14:42:29 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [30/May/2026:14:43:03 +0530] "GET /School_Management_System/teacher/assignedclass.jsp HTTP/1.1" 200 10760
0:0:0:0:0:0:0:1 - - [30/May/2026:14:43:03 +0530] "GET /School_Management_System/teacher/assignedclass.js HTTP/1.1" 200 1618
0:0:0:0:0:0:0:1 - - [30/May/2026:14:43:03 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [30/May/2026:14:43:03 +0530] "GET /School_Management_System/AssignedClass?teacherId=1 HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [30/May/2026:14:43:06 +0530] "GET /School_Management_System/teacher/assignedclass.jsp HTTP/1.1" 200 10760
0:0:0:0:0:0:0:1 - - [30/May/2026:14:43:06 +0530] "GET /School_Management_System/teacher/assignedclass.js HTTP/1.1" 200 1618
0:0:0:0:0:0:0:1 - - [30/May/2026:14:43:06 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [30/May/2026:14:43:06 +0530] "GET /School_Management_System/AssignedClass?teacherId=1 HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [30/May/2026:14:43:07 +0530] "GET /School_Management_System/teacher/assignedclass.jsp HTTP/1.1" 200 10760
0:0:0:0:0:0:0:1 - - [30/May/2026:14:43:07 +0530] "GET /School_Management_System/teacher/assignedclass.js HTTP/1.1" 200 1618
0:0:0:0:0:0:0:1 - - [30/May/2026:14:43:07 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [30/May/2026:14:43:07 +0530] "GET /School_Management_System/AssignedClass?teacherId=1 HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [30/May/2026:14:43:40 +0530] "GET /School_Management_System/teacher/assignedclass.jsp HTTP/1.1" 200 10760
0:0:0:0:0:0:0:1 - - [30/May/2026:14:43:40 +0530] "GET /School_Management_System/teacher/assignedclass.js HTTP/1.1" 200 1618
0:0:0:0:0:0:0:1 - - [30/May/2026:14:43:40 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [30/May/2026:14:43:40 +0530] "GET /School_Management_System/AssignedClass?teacherId=1 HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [30/May/2026:14:43:45 +0530] "GET /School_Management_System/teacher/attendance.jsp HTTP/1.1" 200 18334
0:0:0:0:0:0:0:1 - - [30/May/2026:14:43:45 +0530] "GET /School_Management_System/AssignStudent HTTP/1.1" 200 3837
0:0:0:0:0:0:0:1 - - [30/May/2026:14:43:50 +0530] "GET /School_Management_System/teacher/studentsList.jsp HTTP/1.1" 200 8896
0:0:0:0:0:0:0:1 - - [30/May/2026:14:43:50 +0530] "GET /School_Management_System/StudentList HTTP/1.1" 200 7721
0:0:0:0:0:0:0:1 - - [30/May/2026:14:43:52 +0530] "GET /School_Management_System/teacher/attendance.jsp HTTP/1.1" 200 18334
0:0:0:0:0:0:0:1 - - [30/May/2026:14:43:52 +0530] "GET /School_Management_System/AssignStudent HTTP/1.1" 200 3837
0:0:0:0:0:0:0:1 - - [30/May/2026:14:43:54 +0530] "GET /School_Management_System/teacher/studentsList.jsp HTTP/1.1" 200 8896
0:0:0:0:0:0:0:1 - - [30/May/2026:14:43:54 +0530] "GET /School_Management_System/StudentList HTTP/1.1" 200 7721
0:0:0:0:0:0:0:1 - - [30/May/2026:14:44:33 +0530] "GET /School_Management_System/teacher/studentsList.jsp HTTP/1.1" 200 8896
0:0:0:0:0:0:0:1 - - [30/May/2026:14:44:33 +0530] "GET /School_Management_System/teacher/studentList.js HTTP/1.1" 200 1453
0:0:0:0:0:0:0:1 - - [30/May/2026:14:44:33 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [30/May/2026:14:44:33 +0530] "GET /School_Management_System/StudentList HTTP/1.1" 200 7721
0:0:0:0:0:0:0:1 - - [30/May/2026:14:44:42 +0530] "GET /School_Management_System/teacher/studentsList.jsp HTTP/1.1" 200 8922
0:0:0:0:0:0:0:1 - - [30/May/2026:14:44:42 +0530] "GET /School_Management_System/teacher/studentList.js HTTP/1.1" 200 1453
0:0:0:0:0:0:0:1 - - [30/May/2026:14:44:42 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [30/May/2026:14:44:42 +0530] "GET /School_Management_System/StudentList HTTP/1.1" 200 7721
0:0:0:0:0:0:0:1 - - [30/May/2026:14:44:48 +0530] "GET /School_Management_System/teacher/attendance.jsp HTTP/1.1" 200 18334
0:0:0:0:0:0:0:1 - - [30/May/2026:14:44:48 +0530] "GET /School_Management_System/AssignStudent HTTP/1.1" 200 3837
0:0:0:0:0:0:0:1 - - [30/May/2026:14:44:50 +0530] "GET /School_Management_System/teacher/assignedclass.jsp HTTP/1.1" 200 10760
0:0:0:0:0:0:0:1 - - [30/May/2026:14:44:50 +0530] "GET /School_Management_System/AssignedClass?teacherId=1 HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [30/May/2026:14:44:54 +0530] "GET /School_Management_System/login/login.jsp HTTP/1.1" 200 7972
0:0:0:0:0:0:0:1 - - [30/May/2026:14:45:08 +0530] "POST /School_Management_System/Login HTTP/1.1" 200 80
0:0:0:0:0:0:0:1 - - [30/May/2026:14:45:08 +0530] "GET /School_Management_System/student/attendance.jsp HTTP/1.1" 200 7727
0:0:0:0:0:0:0:1 - - [30/May/2026:14:45:08 +0530] "GET /School_Management_System/student/attendance.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2026:14:45:08 +0530] "GET /School_Management_System/CheckAttendance?studentId=1 HTTP/1.1" 200 122
0:0:0:0:0:0:0:1 - - [30/May/2026:14:45:50 +0530] "GET /School_Management_System/student/attendance.jsp HTTP/1.1" 200 7727
0:0:0:0:0:0:0:1 - - [30/May/2026:14:45:50 +0530] "GET /School_Management_System/student/attendance.js HTTP/1.1" 200 1991
0:0:0:0:0:0:0:1 - - [30/May/2026:14:45:51 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [30/May/2026:14:45:51 +0530] "GET /School_Management_System/CheckAttendance?studentId=1 HTTP/1.1" 200 122
0:0:0:0:0:0:0:1 - - [30/May/2026:14:45:57 +0530] "GET /School_Management_System/student/profile.jsp HTTP/1.1" 200 10449
0:0:0:0:0:0:0:1 - - [30/May/2026:14:45:57 +0530] "GET /School_Management_System/student/profile.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2026:14:45:57 +0530] "GET /School_Management_System/Profile?studentId=1 HTTP/1.1" 200 202
0:0:0:0:0:0:0:1 - - [30/May/2026:14:46:05 +0530] "GET /School_Management_System/student/profile.jsp HTTP/1.1" 200 10449
0:0:0:0:0:0:0:1 - - [30/May/2026:14:46:05 +0530] "GET /School_Management_System/student/profile.js HTTP/1.1" 200 1579
0:0:0:0:0:0:0:1 - - [30/May/2026:14:46:05 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [30/May/2026:14:46:05 +0530] "GET /School_Management_System/Profile?studentId=1 HTTP/1.1" 200 202
